Date,Startup,Industry Vertical,SubVertical,City,Investor,Type,Amount in cr
2017-08-23,Awign,Technology,Operations and manpower outsourcing,Bengalore,"IIT Ropar, Imanpreet Singh Arora, Sidharth Rozario, Saurabh Abichandani, Shikhar Gupta,",Seed,0.0
2017-08-24,Indiez,Technology,Software & Mobile app development platform,Bengalore,Haresh Chawla,Seed,4.15
2017-08-25,Ezetap,Technology,mPOS solutions provider,Bengalore,"JS Capital Management, Social Capital, Horizons Ventures,",Private,132.8
2017-08-25,Ink Monk,Consumer Internet,Online printing marketplace,Chennai,"VAMM Ventures, Raksul, Dena",Seed,6.225
2017-08-28,Medinfi,Consumer Internet,Online Doctor Discovery Platform,Bengalore,"PBS Srinivas, Vinod Martin,",Seed,1.0375
2017-08-29,Mobikon,Technology,Restaurant & Hotel CRM platform,Pune,"Sistema Asia Fund, C31 Ventures, Qualgro.",Private,58.1
2017-08-29,Cure Fit,Consumer Internet,End to End health and wellness platform.,Bengalore,"Accel Partners, IDG Ventures, Kalaari Capital,\\xc2\\xa0 UC-RNT fund",Private,207.5
2017-08-29,Doxper,Technology,Healthtech IoT platform,Mumbai,"idal Health, growx ventures, Capier Investments, Globevestor & others",Seed,6.225
2017-08-30,Fieldassist,Technology,SAAS based sales force automation services,Gurgaon,Small Industries Development Bank of India (SIDBI),Debt,0.0
2017-08-30,Treebo,Consumer Internet,Budget Hotel Aggregator platform,Bengalore,"Ward Ferry Management and Karst Peak Capital,",Private,282.2
2017-07-01,Medgenome,Technology,Genomics Research and Diagnostics Solutions,Bengalore,"Sequoia India, Sofina s.a., Zodius Capital, Kris Gopalakrishnan, Lakshmi Narayanan,",Private,249.0
2017-07-03,Billion Loans,Consumer Internet,Peer to Peer Lending platform,Bengalore,Reliance Corporate Advisory Services Ltd,Seed,8.3
2017-07-04,Ecolibriumenergy,Technology,Energy management solutions provider,Ahemdabad,"Infuse Ventures, JLL",Private,21.58
2017-07-05,Droom,eCommerce,Online marketplace for automobiles,Gurgaon,"Asset Management (Asia) Ltd, Digital Garage Inc",Private,166.0
2017-07-05,Jumbotail,eCommerce,online marketplace for food and grocery,Bengalore,"Kalaari Capital, Nexus India Capital Advisors",Private,70.55
2017-07-05,Moglix,eCommerce,B2B marketplace for Industrial products,Noida,"International Finance Corporation, Rocketship, Accel Partners, Jungle Ventures, Shailesh Rao, Venture Highway",Private,99.6
2017-07-06,Timesaverz,Consumer Internet,Hyperlocal home services provider,Mumbai,BCCL,Private,8.3
2017-07-06,Minjar,Technology,Cloud Solutions provider,Bengalore,"Blume Ventures, Contrarian Capital India Partners, Emergent Ventures India, Pallav Nadhani, Ashish Gupta, Sharad Sharma, Sirion Labs",Seed,0.0
2017-07-07,Mycity4Kids,Consumer Internet,parenting blog and kids\\xe2\\x80\\x99 events discovery platform,Gurgaon,Undisclosed,Seed,0.0
2017-07-07,Clip App,Consumer Internet,Digital Media Video platform,Bengalore,"India Quotient, Shunwei Capital",Seed,8.3
2017-07-10,Upwardly.In,Consumer Internet,MF investment platform,Bengalore,"Sreeram Iyer, Suvo Sarkar, Anita Gupta, Likemind Ventures",Seed,0.0
2017-07-11,Autorox.Co,Technology,Workshop Management Software Platform,Hyderabad,Mitsui & Co.,Private,24.9
2017-07-11,Fabogo,Consumer Internet,Salon & Spa Aggregation & Discovery platform,Pune,Dunamis Ventures Pte Ltd,Private,18.675
2017-07-11,Flickstree,Consumer Internet,Video Content Discovery Platform,Mumbai,"Venture Catalysts, Sourav Ganguly, Ankit Aditya, Moksh Sports Ventures",Seed,3.8512
2017-07-12,Design Cafe,Consumer Internet,Online Interior Design platform,Bengalore,"Fireside Ventures, Apurva Salarpuria, Sidharth Pansari, Sprout Capital",Seed,0.0
2017-07-12,Innoviti,Technology,Digital payments solutions,Bengalore,"SBI-FMO Fund, Bessemer Venture Partners, Catamaran Ventures",Private,153.55
2017-07-12,Vdeliver,Logistics,Door Step Delivery platform,Hyderabad,"Corvus Ventures, MAPE Advisory Group",Private,0.0
